sex,sat_v,sat_m,hs_gpa,fy_gpa
1,65,62,3.4,3.18
2,58,64,4.0,3.33
2,56,60,3.75,3.25
1,42,53,3.75,2.42
1,55,52,4.0,2.63
2,55,56,4.0,2.91
1,57,65,2.8,2.83
1,53,62,3.8,2.51
2,67,77,4.0,3.82
1,41,44,2.6,2.54
1,58,70,3.75,3.38
2,45,57,3.75,3.02
2,43,45,2.8,2.6
2,50,58,3.75,3.81
1,54,66,3.5,3.02
2,55,57,3.75,3.48
2,44,53,3.2,2.15
1,53,68,4.0,3.8
2,54,49,3.75,3.13
2,47,55,4.0,3.4
1,64,76,4.0,3.59
2,39,33,3.25,1.62
1,52,65,3.9,3.61
1,49,58,3.5,2.54
1,46,40,3.5,2.51
2,43,49,2.0,0.0
1,63,72,4.0,3.72
2,46,45,2.3,0.87
1,45,53,3.5,2.79
1,35,45,3.5,2.0
2,54,53,4.0,3.69
2,66,66,3.75,3.48
1,40,50,3.0,2.49
2,53,67,4.0,3.92
1,64,62,2.8,3.05
1,44,39,2.75,2.4
1,69,64,3.5,2.71
2,47,60,3.75,1.58
1,33,48,2.0,1.38
1,61,63,3.75,2.52
2,40,42,2.75,2.16
1,52,62,3.0,2.57
1,56,61,2.25,2.64
1,38,49,3.5,2.47
1,54,47,3.0,1.0
1,33,43,3.0,2.73
2,36,45,2.67,2.42
2,36,47,3.0,2.3
2,64,60,3.8,3.33
1,49,42,3.1,2.37
1,57,66,3.0,2.11
1,50,60,3.0,2.91
2,48,49,3.0,3.29
2,54,55,3.25,2.67
1,64,66,3.2,2.78
2,57,50,3.8,3.13
2,49,55,2.5,2.94
2,64,68,4.0,4.0
1,66,57,3.75,2.9
2,43,46,3.5,2.92
1,46,50,2.9,1.91
1,41,51,2.9,3.11
1,62,64,2.3,2.02
1,43,63,2.8,2.51
2,52,52,4.0,3.51
2,45,54,4.0,3.24
2,45,59,3.8,2.02
2,71,59,4.0,2.65
2,43,52,3.25,1.74
1,55,54,2.7,1.54
1,40,62,3.5,2.34
2,66,61,3.0,2.49
1,54,62,3.25,2.49
1,45,60,2.75,2.08
1,57,56,3.0,2.19
2,37,51,2.5,1.8
2,35,40,2.8,2.22
1,61,59,3.5,2.95
2,50,51,3.25,2.67
1,50,56,4.0,2.89
1,44,57,3.5,2.66
1,58,50,3.0,2.18
2,53,56,3.5,2.81
1,42,52,3.75,2.06
1,60,57,4.0,2.8
1,39,53,3.0,2.59
1,49,50,3.5,2.33
1,45,65,4.0,3.55
1,60,67,4.0,2.75
2,50,43,3.75,3.59
1,29,50,3.25,1.54
1,48,60,3.75,2.98
2,34,40,3.0,1.28
1,49,47,2.5,1.24
2,50,67,4.0,2.93
2,53,52,3.75,2.48
1,62,63,4.0,2.98
2,53,56,2.7,1.17
1,46,55,3.5,2.04
2,63,57,3.2,2.37
2,44,64,3.5,3.0
2,63,57,2.75,2.98
2,49,58,3.4,2.55
1,42,55,2.8,1.86
1,58,56,2.0,2.09
1,63,73,4.0,2.89
2,62,64,4.0,3.38
2,57,60,3.9,3.94
1,45,71,3.0,2.28
1,59,72,3.0,2.43
2,45,64,4.0,2.77
2,52,52,2.0,3.33
1,43,64,3.0,2.39
2,43,46,3.7,2.37
1,60,68,4.0,3.82
1,50,77,3.75,3.63
1,61,58,2.5,1.78
1,48,59,3.0,3.22
1,71,70,3.5,2.42
1,54,71,4.0,3.82
2,53,54,4.0,3.6
2,45,46,3.75,1.84
1,55,68,3.5,3.3
1,63,66,3.8,3.7
1,51,59,3.0,2.89
1,43,39,2.3,2.38
2,50,49,3.75,2.97
2,51,50,4.0,3.37
1,57,64,3.75,3.18
2,42,44,3.0,1.33
1,57,64,4.0,3.0
1,58,66,4.0,3.75
1,40,57,2.6,2.24
2,49,44,2.75,2.44
1,52,73,2.5,2.72
1,62,58,2.5,1.69
2,52,59,3.75,3.19
2,35,50,3.5,3.1
2,54,59,4.0,2.71
2,67,70,4.0,3.45
2,52,45,3.25,3.36
2,45,53,3.2,1.0
1,51,73,3.75,3.08
2,53,51,2.75,3.16
1,67,66,3.75,3.66
2,59,63,4.0,3.82
1,64,70,3.75,3.94
2,58,58,3.75,3.79
2,46,57,3.25,2.91
1,39,56,3.0,2.33
2,45,55,3.5,3.06
1,48,54,3.0,1.91
2,41,58,3.0,2.47
2,54,60,3.5,2.96
1,54,55,3.67,2.13
2,38,32,2.4,1.98
2,57,66,3.5,3.64
2,44,59,2.0,0.6
2,35,52,3.0,2.39
1,60,53,3.5,1.95
1,53,62,4.0,3.37
2,41,52,4.0,3.02
